,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
150,"Chanel (Go Get It) [feat. Gunna & Lil Baby]","Young Thug",585997,https://open.spotify.com/track/0kCBorRrKZkSztd9m0QI3r
151,"STOP TRYING TO BE GOD","Travis Scott",584833,https://open.spotify.com/track/1xYpVRspgaLxdJLOTQkTjg
152,Dura,"Daddy Yankee",583167,https://open.spotify.com/track/6KuqAtoeVzxAYOaMveLNpH
153,"Tie Me Down (with Elley Duhé)",Gryffin,579968,https://open.spotify.com/track/4QVS8YCpK71R4FsxSMCjhP
154,"Freaky Friday (feat. Chris Brown)","Lil Dicky",578401,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
155,"Melodien (feat. Juju)","Capital Bra",578122,https://open.spotify.com/track/5d35jcJj7WjDQBOHCHPY6t
156,"Ric Flair Drip (& Metro Boomin)",Offset,574896,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
157,goosebumps,"Travis Scott",571697,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
158,"One Dance",Drake,570425,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
159,"Wake Me Up - Radio Edit",Avicii,570068,https://open.spotify.com/track/4h8VwCb1MTGoLKueQ1WgbD
160,"CAN'T SAY","Travis Scott",566089,https://open.spotify.com/track/27a1mYSG5tYg7dmEjWBcmL
161,"Candy Paint","Post Malone",558938,https://open.spotify.com/track/32lItqlMi4LBhb4k0BaSaC
162,"Something Just Like This","The Chainsmokers",555457,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
163,"DDU-DU DDU-DU - KR Ver.",BLACKPINK,555255,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu
164,"All The Stars (with SZA)","Kendrick Lamar",554693,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
165,"W O R K I N M E",Quavo,548143,https://open.spotify.com/track/33tNYw9oMtSkGe27NpgS64
166,"Chica Paranormal","Paulo Londra",547794,https://open.spotify.com/track/2r77vqSZkOktTSgmAOoHsV
167,"Only You (with Little Mix)","Cheat Codes",543038,https://open.spotify.com/track/54l9GJGQ1UCFKe2tzt1Vxt
168,"No Quiero Amarte (feat. Zion & Lennox)","Justin Quiles",542864,https://open.spotify.com/track/5bITfqKGaPakO1l99hOMsI
169,"Playinwitme (feat. Kehlani)",KYLE,542439,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr
170,"Feel It Still","Portugal. The Man",540292,https://open.spotify.com/track/6QgjcU0zLnzq5OrUoSZ3OK
171,"Wonderwall - Remastered",Oasis,535415,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa
172,"This Is America","Childish Gambino",534239,https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9
173,"Quiere Beber","Anuel Aa",530810,https://open.spotify.com/track/3rPAD722s5FFNnwjC91t7Z
174,"Thinking Out Loud","Ed Sheeran",530617,https://open.spotify.com/track/1Slwb6dOYkBlWal1PGtnNg
175,APESHIT,"The Carters",528065,https://open.spotify.com/track/0E6PsO3ymCfUh7pJQjBgkj
176,"Perfect Duet (Ed Sheeran & Beyoncé)","Ed Sheeran",522363,https://open.spotify.com/track/1bhUWB0zJMIKr9yVPrkEuI
177,"Duro y Suave","Leslie Grace",521037,https://open.spotify.com/track/31M5m42C3EGlbydf9XB5to
178,"Young Dumb & Broke",Khalid,520500,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
179,"NO BYSTANDERS","Travis Scott",520329,https://open.spotify.com/track/6OaVWaGfhXn70ZJfdVcabn
180,Celoso,"Lele Pons",520127,https://open.spotify.com/track/33zcmmElV1YbRZe57biUjg
181,Silence,Marshmello,519077,https://open.spotify.com/track/7vGuf3Y35N4wmASOKLUVVU
182,"500 PS","Bonez MC",518377,https://open.spotify.com/track/641R77CBy4bOLGRcA9sgHy
183,"What Lovers Do (feat. SZA)","Maroon 5",517780,https://open.spotify.com/track/0GxQ1A5L9xnMOytbP6eKBG
184,"Échame La Culpa","Luis Fonsi",515815,https://open.spotify.com/track/2hl6q70unbviGo3g1R7uFx
185,Wolves,"Selena Gomez",515103,https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU
186,"El Préstamo",Maluma,514421,https://open.spotify.com/track/2XVilv6s9GETnw9PG4T9Mz
187,Familiar,"Liam Payne",512442,https://open.spotify.com/track/0Y4hwUppbGc8aIBmiTz30A
188,"R.I.P. SCREW","Travis Scott",511106,https://open.spotify.com/track/4SZepBIPDRwPaHIjAKwRDb
